_key,_说明,_Android点位,_iOS点位,_服务端打点,title,action,url,status,total,item_id,ju_id
,自定义事件,,,,,,,,,,
IOS_WIDGET_ENTRANCE,widget活动入口,,,,,,,,,,
IOS_WIDGET_ITEM,widget商品点击,,,,,,,,,,
IOS_HOTPATCH_DOWNLOAD,补丁下载,,,,,,,,,,
IOS_HOTPATCH_PATCHING,在线补丁,,,,,,,,,,
IOS_LAUNCH,app启动,,,,,,,,,,
IOS_SLIENT_PUSH_HOMECONFIG,远程静默推送客户端首页刷新,,,,,,,,,,
IOS_SLIENT_PUSH,远程静默推送,,,,,,,,,,
WATCH_BTN_Like,AppleWatch-收藏,,,,AppleWatch-收藏,,,,,,
WATCH_CARD_MUSTBUY,AppleWatch-今日必抢,,,,AppleWatch-今日必抢,,,,,,
WATCH_REFRESH,AppleWatch-刷新 ,,,,AppleWatch-刷新 ,,,,,,
LOCAL_NOTIFICATION,本地开团提醒,,,,,{[show|ok]},,,,,
IOS_GUIDETIP,iOS利用UIAlert方式引导用户打开消息通知开关,,,,引导提示,{([on|off])?},,,,,
SHARE_STATUS,分享状态统计,,,,{[分享|来往|微博|微信|朋友圈|二维码|复制|更多]},,,{(success)?},,,
SHARE_DIALOG,分享对话框展示,,,,分享对话框展示,,,,,,
SYSTEM_STATUS,系统环境状态,,,,{[日常|线上|预发]},,,,,,
MISCDATA_STATUS,MistData状态,,,,{.*},,,{[on|off]},,,
ITEMDETAIL_ParallelBrowse,详情页面并行浏览埋点,,,,,{(cancel)?},,,{\d+},{.*},{.*}
EXT_TAO_PASSWORD,淘口令加载,,,,,,,,,,
EXT_LWP_STATUS,来往长连接状态,,,,,{(shutdown)?},,{[on|off]},,,
EXT_WEBVIEW_MEMORY_WARNING,webview内存警告,,,,,,,,,,
EXT_ANTI_BRUSH,防刷限流埋点,,,,,,{.*},,,,
EXT_CART_SEPARATE_PAY,购物车分开付款,,,,,,,,,,
3DTouch_BTN,3DTouch入口点击,,,,{.*},,{.*},,,,
